Date_ID,Date,year,Month,Quarter,Date_ID.1
DT00341,2017-12-07,2017,12,Q4,DT00341
DT00342,2017-12-08,2017,12,Q4,DT00342
DT00343,2017-12-09,2017,12,Q4,DT00343
DT00344,2017-12-10,2017,12,Q4,DT00344
DT00345,2017-12-11,2017,12,Q4,DT00345
DT00346,2017-12-12,2017,12,Q4,DT00346
DT00347,2017-12-13,2017,12,Q4,DT00347
DT00348,2017-12-14,2017,12,Q4,DT00348
DT00349,2017-12-15,2017,12,Q4,DT00349
DT00350,2017-12-16,2017,12,Q4,DT00350
DT00351,2017-12-17,2017,12,Q4,DT00351
DT00352,2017-12-18,2017,12,Q4,DT00352
DT00353,2017-12-19,2017,12,Q4,DT00353
DT00354,2017-12-20,2017,12,Q4,DT00354
DT00355,2017-12-21,2017,12,Q4,DT00355
DT00356,2017-12-22,2017,12,Q4,DT00356
DT00357,2017-12-23,2017,12,Q4,DT00357
DT00358,2017-12-24,2017,12,Q4,DT00358
DT00359,2017-12-25,2017,12,Q4,DT00359
DT00360,2017-12-26,2017,12,Q4,DT00360
DT00361,2017-12-27,2017,12,Q4,DT00361
DT00362,2017-12-28,2017,12,Q4,DT00362
DT00363,2017-12-29,2017,12,Q4,DT00363
DT00364,2017-12-30,2017,12,Q4,DT00364
DT00365,2017-12-31,2017,12,Q4,DT00365
DT00366,2018-01-01,2018,1,Q1,DT00366
DT00367,2018-01-02,2018,1,Q1,DT00367
DT00368,2018-01-03,2018,1,Q1,DT00368
DT00369,2018-01-04,2018,1,Q1,DT00369
DT00370,2018-01-05,2018,1,Q1,DT00370
DT00371,2018-01-06,2018,1,Q1,DT00371
DT00372,2018-01-07,2018,1,Q1,DT00372
DT00373,2018-01-08,2018,1,Q1,DT00373
DT00374,2018-01-09,2018,1,Q1,DT00374
DT00375,2018-01-10,2018,1,Q1,DT00375
DT00376,2018-01-11,2018,1,Q1,DT00376
DT00377,2018-01-12,2018,1,Q1,DT00377
DT00378,2018-01-13,2018,1,Q1,DT00378
DT00379,2018-01-14,2018,1,Q1,DT00379
DT00380,2018-01-15,2018,1,Q1,DT00380
DT00381,2018-01-16,2018,1,Q1,DT00381
DT00382,2018-01-17,2018,1,Q1,DT00382
DT00383,2018-01-18,2018,1,Q1,DT00383
DT00384,2018-01-19,2018,1,Q1,DT00384
DT00385,2018-01-20,2018,1,Q1,DT00385
DT00386,2018-01-21,2018,1,Q1,DT00386
DT00387,2018-01-22,2018,1,Q1,DT00387
DT00388,2018-01-23,2018,1,Q1,DT00388
DT00389,2018-01-24,2018,1,Q1,DT00389
DT00390,2018-01-25,2018,1,Q1,DT00390
DT00391,2018-01-26,2018,1,Q1,DT00391
DT00392,2018-01-27,2018,1,Q1,DT00392
DT00393,2018-01-28,2018,1,Q1,DT00393
DT00394,2018-01-29,2018,1,Q1,DT00394
DT00395,2018-01-30,2018,1,Q1,DT00395
DT00396,2018-01-31,2018,1,Q1,DT00396
DT00397,2018-02-01,2018,2,Q1,DT00397
DT00398,2018-02-02,2018,2,Q1,DT00398
DT00399,2018-02-03,2018,2,Q1,DT00399
DT00400,2018-02-04,2018,2,Q1,DT00400
DT00401,2018-02-05,2018,2,Q1,DT00401
DT00402,2018-02-06,2018,2,Q1,DT00402
DT00403,2018-02-07,2018,2,Q1,DT00403
DT00404,2018-02-08,2018,2,Q1,DT00404
